rd,sales,profits,rdintens,profmarg
430.6,4570.2,186.9,9.42,4.09
59,2830,467,2.08,16.5
23.5,596.8,107.4,3.94,18
3.5,133.6,-4.3,2.62,-3.22
1.7,42,8,4.05,19.05
8.4,390,47.3,2.15,12.13
2.5,93.9,0.9,2.66,0.96
39.9,907.9,77.4,4.39,8.53
1136,19773,2563,5.75,12.96
1428,39709,4154,3.6,10.46
45.3,2936.5,93.7,1.54,3.19
65.2,2513.8,355.4,2.59,14.14
20.3,1124.8,45.3,1.8,4.03
15.6,921.6,4.1,1.69,0.44
74,2432.6,132.4,3.04,5.44
147.5,6754,329,2.18,4.87
29.2,1066.3,289.9,2.74,27.19
92.2,3199.9,163.2,2.88,5.1
3.7,150,32.6,2.47,21.73
19.4,509.7,83.8,3.81,16.44
74.4,1452.7,271.2,5.12,18.67
612,8995,809,6.8,8.99
45.3,1212.3,215,3.74,17.73
11,906.6,154.8,1.21,17.07
66,2592,116,2.55,4.48
10.4,201.5,23,5.16,11.41
48.9,2617.8,60.5,1.87,2.31
6.1,502.2,18.4,1.21,3.66
178.2,2824,313,6.31,11.08
3,292.2,6.4,1.03,2.19
191,7621,626,2.51,8.21
26,1631.5,105.8,1.59,6.48
